exchange,uptake
EX_25dkglcn_e,1000
EX_2m35mdntha_e,1000
EX_34dhpac_e,1000
EX_35dnta_e,1000
EX_4abut_e,1000
EX_4ahmmp_e,1000
EX_4hbz_e,1000
EX_4hphac_e,1000
EX_4hpro_LT_e,1000
EX_4oxptn_e,1000
EX_5drib_e,1000
EX_LalaDgluMdap_e,1000
EX_LalaLglu_e,1000
EX_Larab_e,1000
EX_Lcyst_e,1000
EX_abg4_e,1000
EX_ac_e,1000
EX_acald_e,1000
EX_acgam_e,1000
EX_acmana_e,1000
EX_acnam_e,1000
EX_acon_C_e,1000
EX_adn_e,1000
EX_akg_e,1000
EX_ala_B_e,1000
EX_ala_L_asp__L_e,1000
EX_ala_L_glu__L_e,1000
EX_ala_L_thr__L_e,1000
EX_ala__D_e,1000
EX_ala__L_e,1000
EX_ala_gln_e,1000
EX_ala_his_e,1000
EX_ala_leu_e,1000
EX_alagly_e,1000
EX_alahis_e,1000
EX_alaleu_e,1000
EX_alathr_e,1000
EX_alatrp_e,1000
EX_anhgm_e,1000
EX_arab__L_e,1000
EX_arbt6p_e,1000
EX_arbt_e,1000
EX_arg__L_e,1000
EX_ascb__L_e,1000
EX_asn__L_e,1000
EX_asp__L_e,1000
EX_balaala_e,1000
EX_balabala_e,1000
EX_balagly_e,1000
EX_balaleu_e,1000
EX_balamd_e,1000
EX_bz_e,1000
EX_bzalc_e,1000
EX_ca2_e,1000
EX_carn_e,1000
EX_cellb_e,1000
EX_cgly_e,1000
EX_ch4s_e,1000
EX_chol_e,1000
EX_chols_e,1000
EX_chsterol_e,1000
EX_cinnm_e,1000
EX_cit_e,1000
EX_cl_e,1000
EX_cmcbtt_e,1000
EX_co2_e,1000
EX_cobalt2_e,1000
EX_crn_e,1000
EX_csn_e,1000
EX_cu2_e,1000
EX_cyan_e,1000
EX_cytd_e,1000
EX_dca_e,1000
EX_dopa_e,1000
EX_drib_e,1000
EX_duri_e,1000
EX_dxyl_e,1000
EX_enter_e,1000
EX_etoh_e,1000
EX_fe2_e,1000
EX_fe3_e,1000
EX_fe3dcit_e,1000
EX_fe3pyovd_kt_e,1000
EX_feenter_e,1000
EX_for_e,1000
EX_fru_e,1000
EX_fuc_e,1000
EX_fum_e,1000
EX_g3pc_e,1000
EX_g3pe_e,1000
EX_g3pg_e,1000
EX_gal_bD_e,1000
EX_galctn__D_e,1000
EX_galman4_e,1000
EX_galman6_e,1000
EX_galt_e,1000
EX_gam_e,1000
EX_glc__D_e,1000
EX_glc__aD_e,1000
EX_glcman4_e,1000
EX_glcman6_e,1000
EX_gln__L_e,1000
EX_glu__L_e,1000
EX_glucan4_e,1000
EX_glucan6_e,1000
EX_gly_asn__L_e,1000
EX_gly_asp__L_e,1000
EX_gly_cys_e,1000
EX_gly_e,1000
EX_gly_gln_e,1000
EX_gly_glu__L_e,1000
EX_gly_leu_e,1000
EX_gly_met_e,1000
EX_gly_phe_e,1000
EX_gly_pro__L_e,1000
EX_gly_tyr_e,1000
EX_glyald_e,1000
EX_glyb_e,1000
EX_glyc3p_e,1000
EX_glyc_e,1000
EX_glyclt_e,1000
EX_glygln_e,1000
EX_glyglu_e,1000
EX_glygly_e,1000
EX_glyglygln_e,1000
EX_glymet_e,1000
EX_glyphe_e,1000
EX_glyser_e,1000
EX_gthrd_e,1000
EX_gua_e,1000
EX_h2o2_e,1000
EX_h2o_e,1000
EX_h2s_e,1000
EX_h_e,1000
EX_hco3_e,1000
EX_hdca_e,1000
EX_hexs_e,1000
EX_hia_e,1000
EX_his__L_e,1000
EX_hisgly_e,1000
EX_hishis_e,1000
EX_hom__L_e,1000
EX_hpta_e,1000
EX_hxa_e,1000
EX_hxan_e,1000
EX_icit_e,1000
EX_ile__L_e,1000
EX_ind3ac_e,1000
EX_indole_e,1000
EX_inost_e,1000
EX_k_e,1000
EX_lac__L_e,1000
EX_lcts_e,1000
EX_leu__L_e,1000
EX_leuleu_e,1000
EX_lmn2_e,1000
EX_lnlc_e,1000
EX_lys__L_e,1000
EX_lysglugly_e,1000
EX_mal__L_e,1000
EX_malt_e,1000
EX_malthp_e,1000
EX_malthx_e,1000
EX_malttr_e,1000
EX_maltttr_e,1000
EX_man_e,1000
EX_manb_e,1000
EX_mantr_e,1000
EX_manttr_e,1000
EX_meoh_e,1000
EX_met_L_ala__L_e,1000
EX_met__L_e,1000
EX_metox__R_e,1000
EX_metox_e,1000
EX_metsox_R__L_e,1000
EX_metsox_S__L_e,1000
EX_mg2_e,1000
EX_mn2_e,1000
EX_mnl_e,1000
EX_mso3_e,1000
EX_nac_e,1000
EX_nh4_e,1000
EX_nmn_e,1000
EX_no2_e,1000
EX_no3_e,1000
EX_no_e,1000
EX_nona_e,1000
EX_o2_e,1000
EX_ocdca_e,1000
EX_octa_e,1000
EX_orn_e,1000
EX_pdima_e,1000
EX_peamn_e,1000
EX_pentso3_e,1000
EX_phe__L_e,1000
EX_phedca_e,1000
EX_phehpa_e,1000
EX_phehxa_e,1000
EX_pheme_e,1000
EX_phenona_e,1000
EX_pheocta_e,1000
EX_phept_e,1000
EX_pi_e,1000
EX_pnto__R_e,1000
EX_pro__L_e,1000
EX_progly_e,1000
EX_prohisglu_e,1000
EX_pta_e,1000
EX_ptrc_e,1000
EX_ptsla_e,1000
EX_pyovd_kt_e,1000
EX_raffin_e,1000
EX_rbt_e,1000
EX_rib__D_e,1000
EX_rmn_e,1000
EX_salc_e,1000
EX_salchs4_e,1000
EX_salchs4fe_e,1000
EX_sbt__D_e,1000
EX_sel_e,1000
EX_ser__D_e,1000
EX_ser__L_e,1000
EX_serglugly_e,1000
EX_skm_e,1000
EX_slnt_e,1000
EX_so3_e,1000
EX_so4_e,1000
EX_spmd_e,1000
EX_succ_e,1000
EX_sucr_e,1000
EX_taur_e,1000
EX_tcynt_e,1000
EX_thm_e,1000
EX_thr__L_e,1000
EX_tnt_e,1000
EX_tre_e,1000
EX_trp__L_e,1000
EX_tsul_e,1000
EX_ttdca_e,1000
EX_tyr__L_e,1000
EX_ump_e,1000
EX_ura_e,1000
EX_uri_e,1000
EX_val__L_e,1000
EX_vanlt_e,1000
EX_xyl3_e,1000
EX_xyl__D_e,1000
EX_xylan4_e,1000
EX_xylb_e,1000
EX_xylu__L_e,1000
