exchange,uptake
EX_4abut_e,1000
EX_LalaDgluMdap_e,1000
EX_abg4_e,1000
EX_acnam_e,1000
EX_adn_e,1000
EX_akg_e,1000
EX_arbt_e,1000
EX_arg__L_e,1000
EX_asn__L_e,1000
EX_ca2_e,1000
EX_cl_e,1000
EX_cobalt2_e,1000
EX_cu2_e,1000
EX_duri_e,1000
EX_etoh_e,1000
EX_fe2_e,1000
EX_fe3_e,1000
EX_glyc_e,1000
EX_gua_e,1000
EX_h2o2_e,1000
EX_his__L_e,1000
EX_k_e,1000
EX_lys__L_e,1000
EX_met__L_e,1000
EX_mg2_e,1000
EX_mn2_e,1000
EX_nmn_e,1000
EX_no3_e,1000
EX_o2_e,1000
EX_ocdca_e,1000
EX_phe__L_e,1000
EX_pnto__R_e,1000
EX_pro__L_e,1000
EX_ptsla_e,1000
EX_ser__D_e,1000
EX_skm_e,1000
EX_so4_e,1000
EX_thm_e,1000
EX_thr__L_e,1000
EX_trp__L_e,1000
EX_tyr__L_e,1000
EX_zn2_e,1000
